التعليم;"
فرص التعليم والمشورة لمختلف الأعمار ، بما في ذلك التعليم التقليدي ، تعلم اللغة والمزيد ";رعاية الطفل;تسجيل الأطفال في مركز الرعاية بالأطفال, دورالحضانة ورياض الأطفال, وتقديم المشورة في اختيار المدرسة وإيجاد المقاعد المتاحة;;
;;المدرسة ;نصائح بخصوص إيجاد المقاعد المتاحة المدرسية للأطفال, إجراءات التسجيل و مساعدة إضافية ودعم الأطفال اللاجئين ;;
;;الجامعة;تقديم الفرص والدعم للاجئين الراغبين بالتسجيل في دورات الجامعة;;
;;فرص التدريب ;التدريب والمزيد من فرص التعليم لتحسين وصقل الكفاءات والخبرات ;;
;;تعلّم اللغة ;تعلم اللغة الألمانية ولغات أخرى على الإنترنت أو دون الاتصال بالأنترنيت, المشاركة في نشاطات تعلم لغة التواصل الاجتماعية مثل لغة المقعدين ;;
;;دورات محو الأمّية ;إيجاد الدورات و الفرص لتحسين مهارات القراءة والكتابة - للشباب والبالغين;;
;;مكاتب ;أماكن هادئة للقراءة, كتب للإعارة أو للقراءة في المكان, CDs و DVDs;;
;;نصائح تعليمية ;نصائح بخصوص الفرص التعليمية المتاحة لك, وكيفية العثور على المكان والتسجيل ;;
الصّحة ;الخدمات التي تحتاجها إذا كنت مريض ، مصاب، بحاجة المشورة أو تبحث عن معلومات حول التأمين الصحي;الصيدليات (بعدّة لغات);صرف الوصفات الطبية والشراء بدون وصفة الطبية و مستحضرات التجميل .;;
;;التأمين الصحي;الحصول على معلومات حول كيفية الحصول على التأمين الصحي (Ecard);;
;;خدمات مع التأمين الصحي (Ecard);الخدمات الطبية المتوفرة إذا كان لديك التأمين الصحي، إيجاد الطبيب الذي يتحدث لغتك ، رعاية المصابين بصدمة نفسية والمزيد.;الأطبّاء;العثور على الطبيب العام الذي يتحدث لغتك ويمكن أن يساعدك بخصوص الأسئلة الطبية  أو إرشادك إلى الطبيب المختص.
;;;;أخصائيين ;البحث عن طبيب أخصائي يتحدث لغتك (فقط مع توصية من طبيب عام ) .
;;;;أطباء الأسنان ;العثور على طبيب أسنان يتحدث لغتك
;;;;بصريات;العثور على صانع نظارات يتحدث لغتك
;;;;أطباء نسائية ;العثورعلى طبيب أخصائي نسائية يتحدث لغتك .
;;;;مشافي ;المساعدات الأولية والإسعافية الطارئة
;;;;معالجين للمصابين بصدمات ومعالجين نفسيين;البحث عن المشورة بشأن ما يجب القيام به إذا واجهت صدمة نفسية و أين تجد المساعدة والدعم .
