تحصیلات;فرصت‌های آموزشی مختلف و همینطور مشاوره برای سنین مختلف از جمله آموزش رسوم و یادگیری زبان و غیره ;مراقبت از کودکان ;ثبت نام بچه ها در مهد کودک،  پیش دبستانی، مشاوره در انتخاب مدرسه و پیدا کردن فضا.;;
;; مدرسه‌;مشاوره برای پیدا کردن مدرسه برای کودکان و ثبت نام آنها و کمک‌ها و حمایت‌های اضافی برای کودکان پناهجو ;;
;;دانشگاه ;فرصت ها و حمایت از پناهندگان که مایل به ثبت نام در دوره های دانشگاه هستند ;;
;;فرصت های آموزشی;آموزش و فرصت های  آموزشی بیشتر برای بهبود و یا اضافه کردن به مهارت های موجود و مدارک;;
;;آموزش زبان ;Learning German and other languages online and offline and getting involved in social language learning activities such as language tandems.;;
;;دوره‌های آموزشی سواد آموزی ;Find courses and opportunities to improve reading and writing skills - for young people and adults.;;
;;کتابخانه ها ;Quiet spaces to read, study, attend readings or borrow books, CDs and DVDs.;;
;;مشاوره‌های آموزشی ;Advice on which educational opportunities are available to you, how to find spaces and how to enroll.;;
سلامت ;The services you need if you are ill, injured, in need of advice or looking for information about health insurance.;Pharmacies (multi-lingual);Collect prescriptions and buy over-the-counter medications and cosmetics.;;
;;Health Insurance;Find information on how to get health insurance (Ecard);;
;;Services with Health Insurance (Ecard);Medical services available to you if you have health insurance, finding a doctor who speaks your language, trauma care and more.;Doctors;Find a general practitioner who speaks your language and can help you with your medical questions or transfer you to the appropriate specialist.
;;;;Specialists;Find a medical specialist who speaks your language (only with a transfer note from a general practitioner).
;;;;Dentists;Find a dentist who speaks your language.
;;;;Opticians;Find an optician who speaks your language.
;;;;Gynecologists;Find a doctor dealing specifically with female health who speaks your language.
;;;;Hospitals;First aid and emergency services.
;;;;Trauma Therapy and Psychotherapy;Find advice on what to do if you have experienced trauma and where to find help and support.
;;;;Sexual Health;Services providing advice and medical services related specifically to sexual and reproductive health.
;;Services without Health Insurance (no Ecard);Medical services available to you if you have no health insurance, finding a doctor who speaks your language, trauma care, free vaccinations and more.;Doctors;Find a general practitioner who can help you with your medical questions or transfer you to the appropriate specialist.
;;;;Specialists;Find a medical specialist (only with a transfer note from a general practitioner).
;;;;Dentists;Find a dentist.
;;;;Opticians;Find an optician.
;;;;Gynecologists;Find a doctor dealing specifically with female health.
;;;;Hospitals;First aid and emergency services.
