Education;Opportunités d'éducation et de conseils pour différents âges, y compris l'enseignement traditionnel, l'apprentissage de langues et plus encore.;Garde d'enfants;Inscription des enfants en garderies et lieux préscolaires, conseils sur le choix d'école et la recherche de places disponibles.;;
;;;Ecoles;Conseils sur la recherche de places dans les écoles pour les enfants, les procédures d'inscription, et aide et soutien supplémentaire pour les enfants réfugiés.;
;;;Universités;Opportunités et soutien pour les réfugiés qui souhaitent s'inscrire aux cours universitaires.;
;;;Possibilités de formation;Formation et autres possibilités d'éducation pour acquérir des nouvelles compétences ou améliorer les capacités déjà existantes. ;
;;;Apprentissage des langues (cours d'allemand, cafés d'apprentissage, tandems linguistiques/échange linguistique);Apprentissage de l'allemand et autres langues en ligne et en groupes, ainsi que par des activités sociales, telles que l'échange linguistique/les tandems linguistiques. ;
;;;Cours d'alphabétisation;Trouver des cours et des opportunités pour améliorer la lecture et l'écriture - pour les jeunes et adultes.;
;;Bibliothèques;Espaces tranquilles pour lire, étudier, assister à des cours ou pour emprunter des livres, CD et DVD.;;
;;Conseil d'éducation;Conseils sur des opportunités éducatives, la façon de trouver des places disponibles et comment s'y inscrire.;;
Santé;Les services dont vous avez besoin si vous êtes malade, blessé, ou si vous recherchez des informations sur les assurances maladie.;Phamacies (multilingues);Obtenir des médicaments prescrits sur ordonnance ou en vente libre, ansi que des cosmétiques.;;
;;Assurance maladie;Informations sur l'obtention d'une assurance maladie (Ecard);;
;;Avec assurance maladie (Ecard);Services médicaux disponibles si vous détenez une assurance maladie: chercher un médecin qui parle votre langue, soins psychologiques et plus encore.;Médecins;Trouve un médecin généraliste qui parle ta langue et peut t'aider avec tes questions médicales ou te transférer vers le spécialiste approprié.
;;;;Spécialistes;Trouve un médecin spécialiste qui parle ta langue (uniquement avec un avis de transfert d'un médecin généraliste).
;;;;Dentistes;Trouve un dentiste qui parle ta langue.
;;;;Ophtalmologues;Trouve un ophtalmologue qui parle ta langue.
;;;;Gynécologues;Trouve un médecin traitant spécifiquement la santé des femmes qui parle ta langue.
;;;;Hospitaux;Premiers soins et urgences.
;;;;Thérapie de traumatismes et psychothérapie;Trouve de l'aide et du soutien si tu as subi un traumatisme.
;;;;Santé sexuelle;Services fournissant des conseils et services médicaux liés spécifiquement à la santé sexuelle et reproductive.
;;Sans assurance maladie (sans Ecard);Services médicaux disponibles si vous ne bénéficiez pas d'assurance maladie (Ecard) : chercher un médecin qui parle ta langue, soins psychologiques, vaccinations gratuites et plus encore.;Médecins;Trouve un médecin généraliste qui parle ta langue et peut  t'aider avec tes questions médicales ou te transférer vers le spécialiste approprié.
;;;;Spécialistes;Trouve un médecin spécialiste qui parle ta langue (uniquement avec un avis de transfert d'un médecin généraliste).
;;;;Dentistes;Trouve un dentiste qui parle ta langue.
;;;;Ophtalmologues;Trouve un ophtalmologue qui parle ta langue.
;;;;Gynécologues;Trouve des médecins spécialisés en rapport avec la santé des femmes et qui parlent ta langue.
;;;;Hôpitaux;Premiers soins et urgences.
;;;;Thérapie de traumatismes et psychothérapie;Aide et soutien si vous avez subi un traumatisme.
;;;;Santé sexuelle;Lieux fournissant des conseils et services médicaux spécialisés en relation avec la santé sexuelle et reproductive.
;;;;Vaccinations gratuites;Conseils sur les vaccinations et les lieux pour les obtenir gratuitement.
Finances;Informations sur l'ouverture de comptes bancaires, transfert d'argent, paiement d'amendes et recherches de conseils financiers.;Finances;Informations sur l'ouverture de comptes bancaires, transfert d'argent, ainsi que des services spéciaux pour les réfugiés.;;
;;Transport publique;Informations sur le paiement d'amendes.;;
;;Conseils financier;Conseils financiers spécifiques pour les réfugiés.;;
Asile;Informations sur des adresses importantes et services de consultations concernant votre procédure d'asile et toutes autres questions liées.;Autorités compétentes (noter le filtre sur le statut);Institutions et organisations compétentes pour la procédure d'asile.;;
;;Service social de base;Si vous êtes inscrit en tant que demandeur d'asile et vous ne possédez pas d'argent et autres moyens, vous pouvez envoyer une demande au service social de base.;;
;;Regroupement familial ;Conseils pour la réunification des familles qui se trouvent dans différents pays européens et hors europe.;;
;;Conseil en cas de rapatriement;Conseils pour les réfugiés qui veulent retourner dans leur pays d'origine.;;
;;Services de conseil pour réfugiés et migrants;Conseils portant sur des problèmes pour votre demande d'asile ou pour toutes autres difficultés en rapport avec votre statut de réfugiés. ;;
Travail;Informations sur votre statut de travail, les possibilités d'emploi ainsi que des conseils pour trouver du travail. ;Autorités compétentes;Autorités compétentes relatives à votre statut de travail.;AMS;
;;Possibilités de formation;Formations et opportunités d'éducation afin d'améliorer vos compétences et qualifications.;;
;;Centres de travail;Liens utiles afin de vous mettre en relation avec des offres d'emploi appropriés à votre statut, qualifications et intérêts.;;
;;Services de conseil ;Services de conseils pour trouver du travail.;;
Communautés et loisirs;Activités culturelles, club sportifs, lieux de cultes et événements ou vous pouvez passer votre temps libre et vous engager dans une communauté.;Centres de jour;Les centres de jour et de jeunesse vous permettent de rencontrer des locaux et autres réfugiés afin de passer votre temps libre avec eux. ;;
;;Activités sportives et loisirs;Clubs sportifs, équipes, classes et endroits offrant des possibilités de formation, d'exercice et de nouvelles rencontres.;;
;;Communautés religieuses;Structures ou espaces où les individus et groupes vont prier, étudier, et se supportent les uns les autres.;Eglises;Lieux de culte chrétiens qui peuvent également être utilisés pour recevoir des conseils et rencontrer des personnes de même communauté religieuse.
;;;;Mosquées;Lieux de culte musulmans qui peuvent également être utilisés pour rencontrer des personnes de même communauté religieuse.
;;;;Autres lieux de cultes;Evénements et lieux concernant d'autres groupes culturels et religieux qui ne sont pas représentés.
;;Art et culture;Evénements, cours et classes dans lesquels l'art, la musique et le théâtre peuvent être appréciés ou appris. Des offres abordables et spéciales sont incluses. ;Art;Expositions gratuites portant sur les réfugiés, cours d'art et plus encore.
;;;;Film;Projections de films de nuits gratuits dans votre langue ou sur d'autres sujets intéressants.
;;;;Dance, théâtre et cabaret;Spectacles, cours, festivals et bien d'autres encore.
;;;;Musique;Occasions d'écouter, apprendre ou jouer de la musique.
;;Politique;Occasions de s'impliquer dans la vie politique de votre communauté et de participer à des événements en rapport avec le sujet des réfugiés en Europe. ;;
Logement;Trouver un nouvel hébergement, conseils pour les réfugiés à la recherche d'un logement, ainsi que des lieux d'abris temporaires et options d'urgence.;Autorités  pour l'enregistrement;Endroits où vous pouvez enregistrer votre adresse/changement d'adresse.;;
;;Offres de logement;Endroits vous permettant de trouver un logement permanent et comprenant des services adaptés spécifiquement aux besoins des réfugiés. ;;
;;Hébergements temporaires;Adresses où vous pourrez trouver un hébergement temporaire ou d'urgence. Des conseils peuvent être proposés quant aux logements temporaires. ;Abris pour personnes sans domicile fixe;Abris pour les nouveaux arrivants qui sont dans l'impossibilité de trouver d'autres alternatives et endroits pour dormir.
;;;;Logement d'urgence;Ce sont des logements prévus pour des courtes durées afin de fournir des places pour dormir et avant que de nouvelles venues arrivent.
;;;;Lieu d'accueil pour réfugiés;Maisons et appartements où des groupes de réfugiés pourront vivre sur une base temporaire ou permanente.
;;Assistance pour trouver un logement;Services de conseil et d'assistance pour les réfugiés qui sont à la recherche d'un logement.;;
Communication;Rester connecté et garder contact avec les amis et la famille, ici et à l'étranger. ;Internet;Points d'accès Wifi gratuits et cybercafés, ainsi que des adresses où vous pouvez acheter une connexion Internet pour la maison.;;
;;Téléphone;Lieux pour acheter des cartes SIM, faire des appels à l'étranger et acheter des téléphones portables bon marché.;;
;;Media;Journaux, magazines, blogs pour les réfugiés. ;;
;;Poste;Conseils sur l'utilisation du service postal en Autriche. ;;
;;Transport;Informations sur les trains, bus , tickets de tram, vélos et autres moyens de transports permettant de découvrir Vienne. ;;
Nourriture;Lieux où acheter des produits halal et autres spéciaux. Où trouver des épiceries à prix abordables et des sites de distributions.;Achat (pas cher, halal et casher);Lieux où trouver des spécialités et des produits halal. Lieux où acheter des produits abordables parmi les épiceries. ;;
;;Restaurants spéciaux;Lieux où trouver des restaurants qui servent halal et de la nourriture spécifiques ou ceux qui ont des offres spéciales et des évènements pour les réfugiés. ;;
;;Distribution de repas;Lieux et dates de nourriture gratuite provenant de sites de distribution.  ;;
Objets journaliers;Lieux où trouver des vêtements, objets, meubles, jouets, et autres besoins de tous les jours à prix abordables ou gratuits. De même que les magasins proposant des évènements spéciaux et des offres bon marché. ;Habits;Magasins d'habits spécifiques, gratuits et à prix abordables. ;;
;;Meubles et objets;Lieux où trouver des meubles ou objets de maison à prix abordables ou gratuits. Cela va du canapé à...;;
;;Pour enfants;Lieux où trouver des jouets, habits, vêtements d'hiver et de sport gratuits ou à prix abordables.;;
Conseils;Où et comment recevoir des conseils spécifiques et supports pour réfugiés et divers groupes.;Conseils pour réfugiés et migrants;Supports et conseils en rapport avec votre expérience et statut de réfugié/migrant, couvrant des problèmes administratifs, légaux, psychologiques, et autres. ;;
;;Conseil pour repatriement;Conseils sur les étapes à suivre si vous souhaitez retourner dans votre pays. ;;
;;Conseils pour victimes de traite humaine;Conseils légaux et supports adaptés aux victimes de traite humaine et concernant leur procédure de recherche d'asile. ;;
;;Conseils pour personnes utilisant des drogues;Support pour réfugiés qui sont des utilisateurs de drogues, incluant des opportunités de soins physiques et psychologiques. ;;
;;Conseils pour femmes;Inclus un support général pour femmes et autres problèmes spécifiques, comme l'accouchement, la santé sexuelle, violence faites aux femmes et autres. ;;
;;Conseils pour hommes;Soutien pour les hommes sur des thèmes spécifiques tels que la planification familiale, la santé sexuelle, la violence et plus.;;
;;Conseils pour personnes gays, lesbiennes et transgenres. ;Centre de support pour personnes gays, lesbiennes, et transgenres et autres conseils spécifiques adaptés à ces réfugiés. ;;
;;Hébergements d'urgence;Conseils spécifiques pour les hommes et femmes réfugiés qui se sont engagés en tant que travailleur du sexe.  ;;
;;Conseils pour familles;Support pour les familles de réfugiés sur de nombreux problèmes allant du traumatisme psychologiques, à trouver un nouvel hébergement. ;;
