AAI;Afro-Asiatisches Institut;office@aai-wien.at;;"http://www.aai-wien.at/
 ";;01 / 310 51 45-311;Türkenstraße;3;1090;Wien;Österreich;Kultureller Austausch, Veranstaltungen, Projekte, ein Café und mehr;
AB+;Arbeit+;;;http://arbeitplus.at/datenbank/;;;;;;;;Unterstützt Sie bei der Suche nach Dienstleistungen und Produkten, die von Sozialen Unternehmen angeboten werden;
ADV;Arbeit+;;;;;;Säulengasse;31;1090;Wien;Österreich;Gratis Ausgabe von warmen Essen, Kleidung und Wäsche;
AGKM;Angekommen;;;http://www.angekommen.online/;;;;;;;;Informationen über das Leben in Österreich;
AID;Aidshilfe Wien;office@aids-hilfe-wien.at;;http://www.aids.at;;004315993730;Mariahilfer Gürtel;4;1060;Wien;Österreich;Unterstützung HIV-positiver und AIDS-kranker Menschen;
AIN;Asyl in Not;office@asyl-in-not.org;;http://www.asyl-in-not.org/php/portal.php;;004314084210;Währinger Straße;59/2/1;1090;Wien;Österreich;Rechtsberatung und Rechtsvertretung für rechtskräftig abgewiesener AsylwerberInnen.;
AK;Arbeitekammer;bibliothek@akwien.at;;http://wien.arbeiterkammer.at/service/bibliothek/index.html ;;0043 1 50165 2352;Prinz Eugen-Straße;20-22;1040;Wien;Österreich;Öffentliche Bücherei mit WLAN;
AKH;Allgemeines Krankenhaus;;;http://www.akhwien.at/;;00431404000;Währinger Gürtel;18-20;1090;Wien;Österreich;Allgemeines Krankenhaus Wien;
AMB;AmberMed;amber@diakonie.at;;http://www.amber-med.at/;;0043158900847;Oberlaaer Strasse;300-306;1230;Wien;Österreich;Medizinische Behandlung für Menschen ohne Versicherungsschutz, Krisenintervention, stabilisierende Entlastungsgespräche und Kurzzeit-Therapien;
AMERL;Kulturzentrum Spittelberg im Amerlinghaus;amerlinghaus@inode.at;;http://www.amerlinghaus.at/;;004315236475;Stiftgasse;8;1070;Wien;Österreich;Bietet Deutschkurse für MigrantInnen, Kinderbetreuung, interkulturelle Projekte in unterschiedlichsten Bereichen und vieles mehr.;
AMS;Arbeitsmarktservice;ams.oesterreich@ams.at;;http://www.ams.at/;; 1 33178-0;Treustraße;35-43;1200;Wien;Österreich;Das Arbeitsmarktservice ist eine Beratungsstelle für Arbeitsplatzvermittlung und Sozialhilfeleistungen;
